,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Player,Age,Tm,Pos,PTS,G,A,S,S,S%,SAtt.,Thru%,CF% rel,PDO,oZS%,dZS%,ATOI,TOI,TOI,GP,G,EV,PP,A,EV,PP,PPG/G,PPA/G,PTS
Jason Arnott,36,TOT,C,0.42,0.23,0.19,2.32,169,10.1,288,58.7,2.5,97.9,54.6,45.4,15:31,1133,2:07,73,17,13,4,14,10,4,0.055,0.055,31
Karlis Skrastins,36,DAL,D,0.11,0.04,0.07,0.41,30,10,87,34.5,-5.2,101.1,45.1,54.9,17:57,1328,0:02,74,3,3,0,5,4,0,0,0,8
Mike Grier,36,BUF,RW,0.22,0.07,0.15,1.47,107,4.7,165,64.8,-6,100.2,44.7,55.3,14:24,1051,0:09,73,5,5,0,11,11,0,0,0,16
Rob Niedermayer,36,BUF,C,0.27,0.07,0.2,1.13,80,6.3,121,66.1,-6.2,98.7,48.4,51.6,12:46,906,0:07,71,5,5,0,14,14,0,0,0,19
Roman Hamrlik,36,MTL,D,0.43,0.06,0.37,1.63,129,3.9,276,46.7,-1.5,100.2,51.1,48.9,22:17,1760,2:33,79,5,3,2,29,16,13,0.025,0.165,34
Ruslan Salei,36,DET,D,0.13,0.03,0.11,1,75,2.7,161,46.6,-2.2,99,56.6,43.4,17:58,1347,0:04,75,2,2,0,8,8,0,0,0,10
Saku Koivu,36,ANA,C,0.6,0.2,0.4,1.39,104,14.4,189,55,-2.5,101.1,42.2,57.8,19:08,1435,2:15,75,15,11,4,30,19,11,0.053,0.147,45
Sami Salo,36,VAN,D,0.26,0.11,0.15,1.44,39,7.7,81,48.1,-9.9,99.4,53.9,46.1,20:21,549,1:54,27,3,2,1,4,2,2,0.037,0.074,7
Scott Nichol,36,SJS,C,0.13,0.07,0.05,1.09,61,6.6,86,70.9,-10.8,99.9,38.5,61.5,9:45,546,0:01,56,4,4,0,3,3,0,0,0,7
Sergei Gonchar,36,OTT,D,0.4,0.1,0.3,1.6,107,6.5,260,41.2,-0.8,98,54.1,45.9,23:12,1554,3:58,67,7,2,5,20,5,15,0.075,0.224,27
Steve Sullivan,36,NSH,C,0.5,0.23,0.27,1.8,79,12.7,133,59.4,-0.2,101.5,56.3,43.7,16:02,705,2:43,44,10,7,3,12,8,4,0.068,0.091,22
Adrian Aucoin,37,PHX,D,0.29,0.04,0.25,1.32,99,3,233,42.5,-1,102.4,45.5,54.5,21:40,1625,0:52,75,3,3,0,19,17,2,0,0.027,22
Alex Kovalev,37,TOT,RW,0.46,0.22,0.24,2.04,151,10.6,304,49.7,-1.8,99.4,54.1,45.9,16:31,1222,2:43,74,16,10,6,18,14,4,0.081,0.054,34
Andrew Brunette,37,MIN,LW,0.56,0.22,0.34,1.43,117,15.4,154,76,1.4,100.3,52.4,47.6,16:48,1378,3:06,82,18,10,8,28,18,10,0.098,0.122,46
Brian Rafalski,37,DET,D,0.76,0.06,0.7,1.68,106,3.8,218,48.6,4.4,99.8,55.4,44.6,20:25,1287,3:32,63,4,4,0,44,27,17,0,0.27,48
Brian Rolston,37,NJD,C,0.52,0.22,0.31,2.58,168,8.3,291,57.7,5.5,98.1,50.3,49.7,17:36,1144,2:29,65,14,8,6,20,14,5,0.092,0.077,34
Cory Stillman,37,TOT,LW,0.6,0.18,0.42,1.78,116,10.3,218,53.2,-4,103.4,47.8,52.2,16:55,1099,3:13,65,12,9,3,27,18,9,0.046,0.138,39
Jason Blake,37,ANA,C,0.42,0.21,0.21,2.46,187,8.6,286,65.4,1.7,100,52.8,47.2,14:46,1122,1:29,76,16,13,3,16,12,4,0.039,0.053,32
John Madden,37,MIN,C,0.33,0.16,0.17,1.41,107,11.2,185,57.8,-5.6,100.8,33.2,66.8,15:20,1166,0:19,76,12,10,1,13,12,1,0.013,0.013,25
Steve Staios,37,CGY,D,0.26,0.08,0.18,0.59,23,13,55,41.8,-2.2,101.7,58.4,41.6,14:43,574,0:13,39,3,2,0,7,7,0,0,0,10
Todd Marchant,37,ANA,C,0.1,0.01,0.09,0.8,63,1.6,114,55.3,-8.3,96,39.1,60.9,13:17,1050,0:02,79,1,1,0,7,5,1,0,0.013,8
Daniel Alfredsson,38,OTT,RW,0.57,0.26,0.31,1.78,96,14.6,187,51.3,-2.5,96.3,52.8,47.2,19:17,1041,3:10,54,14,7,7,17,12,5,0.13,0.093,31
Jassen Cullimore,38,CHI,D,0.22,0,0.22,0.61,22,0,55,40,-5.9,100.3,57.4,42.6,12:38,455,0:03,36,0,0,0,8,8,0,0,0,8
Mike Knuble,38,WSH,RW,0.51,0.3,0.2,2.57,203,11.8,306,65.4,-0.3,100.9,54.5,45.5,17:53,1413,2:19,79,24,16,7,16,10,5,0.089,0.063,40
Ray Whitney,38,PHX,LW,0.76,0.23,0.53,2.08,156,10.9,283,55.1,2.6,100.2,54.4,45.6,16:57,1272,3:28,75,17,14,3,40,17,23,0.04,0.307,57
Tomas Holmstrom,38,DET,LW,0.51,0.25,0.26,1.71,125,14.4,200,62.5,1.9,98.5,53.5,46.5,14:48,1081,3:05,73,18,8,10,19,9,10,0.137,0.137,37
Adam Foote,39,COL,D,0.17,0,0.17,0.49,23,0,41,56.1,-7.6,99.3,39.5,60.5,17:56,842,0:08,47,0,0,0,8,8,0,0,0,8
Craig Conroy,39,CGY,C,0.11,0.11,0,0.61,11,18.2,20,55,5.3,98.3,50.6,49.4,9:18,167,0:03,18,2,2,0,0,0,0,0,0,2
Kris Draper,39,DET,C,0.23,0.13,0.11,1.21,57,10.5,89,64,-2.3,98.6,47.7,52.3,10:27,491,0:02,47,6,6,0,5,5,0,0,0,11
Sean O'Donnell,39,PHI,D,0.22,0.01,0.21,0.42,34,2.9,92,37,-7.4,101.7,44.1,55.9,15:33,1259,0:02,81,1,1,0,17,16,0,0,0,18
