,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Player,Age,Tm,Pos,PTS,G,A,S,S,S%,SAtt.,Thru%,CF% rel,PDO,oZS%,dZS%,ATOI,TOI,TOI,GP,G,EV,PP,A,EV,PP,PPG/G,PPA/G,PTS
Claude Giroux,28,PHI,C,0.86,0.28,0.58,3.09,241,9.1,418,57.7,4.9,99.4,51.8,48.2,20:33,15:12,3:51,78,22,15,6,45,23,21,0.077,0.269,67
Michael Grabner,28,TOR,RW,0.23,0.11,0.11,1.45,116,7.8,184,62,-3.3,99.9,39,61,14:28,11:15,0:06,80,9,8,0,9,9,0,0,0,18
Marc-Andre Gragnani,28,NJD,D,0,0,0,0,0,,9,0,3.5,90.5,70.8,29.2,14:22,11:51,2:25,4,0,0,0,0,0,0,0,0,0
Martin Hanzal,28,ARI,C,0.64,0.2,0.44,2.2,141,9.2,242,58.3,3.7,99.7,53.3,46.7,17:48,13:17,3:08,64,13,9,3,28,18,10,0.047,0.156,41
Niklas Hjalmarsson,28,CHI,D,0.3,0.02,0.27,0.95,77,2.6,184,41.8,0.6,99.8,43.9,56.1,22:23,19:21,0:08,81,2,2,0,22,17,2,0,0.025,24
Nick Holden,28,COL,D,0.27,0.07,0.2,1.2,98,6.1,200,49,0.6,101.7,45.8,54.2,21:53,18:46,0:45,82,6,6,0,16,15,1,0,0.012,22
Matt Irwin,28,BOS,D,0,0,0,1.5,3,0,5,60,-4.2,87.5,60,40,14:56,12:46,1:02,2,0,0,0,0,0,0,0,0,0
Phil Kessel,28,PIT,RW,0.72,0.32,0.4,3.34,274,9.5,479,57.2,2.3,100.4,64.7,35.3,18:23,14:50,3:30,82,26,22,4,33,20,13,0.049,0.159,59
Jakub Kindl,28,TOT,D,0.18,0.05,0.14,1.43,63,3.2,134,47,5.7,103.6,58.1,41.9,15:23,14:25,0:52,44,2,2,0,6,5,1,0,0.023,8
Anze Kopitar,28,LAK,C,0.91,0.31,0.6,2.19,177,14.1,311,56.9,0.7,103.4,52,48,20:52,16:08,2:34,81,25,19,5,49,34,13,0.062,0.16,74
Jori Lehtera,28,STL,C,0.43,0.11,0.32,1.05,83,10.8,140,59.3,0.8,102,56.6,43.4,16:05,13:24,1:51,79,9,8,1,25,17,8,0.013,0.101,34
Kris Letang,28,PIT,D,0.94,0.23,0.72,3.07,218,7.3,398,54.8,3.7,99,54.1,45.9,26:57,20:38,3:58,71,16,11,5,51,26,22,0.07,0.31,67
Bryan Little,28,WPG,C,0.74,0.3,0.44,2.23,127,13.4,215,58.6,3,96.6,54.8,45.2,19:36,14:37,2:56,57,17,13,2,25,15,10,0.035,0.175,42
Alec Martinez,28,LAK,D,0.4,0.13,0.27,1.59,124,8.1,313,39.6,-4.5,101.6,51.6,48.4,21:09,16:54,1:59,78,10,6,4,21,11,9,0.051,0.115,31
Kevan Miller,28,BOS,D,0.25,0.07,0.18,0.9,64,7.8,145,44.1,-0.5,101.7,48.1,51.9,19:04,16:28,0:03,71,5,5,0,13,12,1,0,0.014,18
Kael Mouillierat,28,PIT,LW,0,0,0,1,1,0,1,100,-5.2,100,42.9,57.1,10:41,10:41,0:00,1,0,0,0,0,0,0,0,0,0
Jakub Nakladal,28,CGY,D,0.19,0.07,0.11,1.56,42,4.8,88,47.7,6,97.1,54.6,45.4,14:11,12:34,1:35,27,2,2,0,3,2,1,0,0.037,5
James Neal,28,NSH,RW,0.71,0.38,0.33,3.27,268,11.6,474,56.5,3.2,103.4,61.1,38.9,19:04,16:16,2:46,82,31,27,4,27,17,10,0.049,0.122,58
Mathieu Perreault,28,WPG,C,0.58,0.13,0.45,1.87,133,6.8,258,51.6,8.3,96.1,55.1,44.9,16:33,13:37,2:52,71,9,3,6,32,23,9,0.085,0.127,41
Jeff Petry,28,MTL,D,0.31,0.1,0.22,1.92,98,5.1,234,42.3,2.3,97.3,45.9,54.1,21:21,17:11,1:48,51,5,4,1,11,4,4,0.02,0.078,16
Kris Russell,28,TOT,D,0.31,0.06,0.24,1.13,70,5.7,189,37,-4.7,100.6,49.4,50.6,23:05,19:37,1:31,62,4,2,2,15,13,2,0.032,0.032,19
Bobby Ryan,28,OTT,RW,0.69,0.27,0.42,2.26,183,12,341,53.7,-0.5,101,62.3,37.7,17:10,14:16,2:51,81,22,16,6,34,24,10,0.074,0.123,56
David Schlemko,28,NJD,D,0.28,0.09,0.19,1.55,104,5.8,183,57.4,4.2,95.2,58.4,41.6,18:39,15:03,2:00,67,6,5,1,13,2,11,0.015,0.164,19
Eric Selleck,28,ARI,RW,0,0,0,1,1,0,1,100,-5.8,100,40,60,9:33,9:11,0:22,1,0,0,0,0,0,0,0,0,0
Tom Sestito,28,PIT,LW,0.25,0,0.25,0.25,1,0,1,100,-18.9,120,68.8,31.3,5:48,5:47,0:00,4,0,0,0,1,1,0,0,0,1
Mike Sislo,28,NJD,RW,0.22,0.17,0.06,1.61,29,10.3,53,54.7,-1.5,98.8,50.9,49.1,12:26,11:14,1:10,18,3,2,1,1,1,0,0.056,0,4
Jack Skille,28,COL,RW,0.19,0.11,0.08,1.43,106,7.5,176,60.2,-3.8,100.4,41.5,58.5,8:50,8:34,0:02,74,8,8,0,6,6,0,0,0,14
